Taxon	C12FCHL	C12FCHS	C13FJBL	C13FJBS	C14FJOS	C14FJOL	C15FNSL	C15FNSS	C15FTCL	C15FTCS	C16FHWL	C16FHWS	C17FHEL	C17FHES	C18FCLL	C18FCLS	C18FHHL	C18FHHS	C18FTGL	C18FTGS	C19FTTL	C19FTTS	C20FJAL	C20FJAS	C20FPHL	C20PHS	C2F1L	C2F1S	C2F4F1	C2F4F2	C2F4F3	C2F4L1	C2F4L2	C2F4L3	C2F4S1	C2F4S2	C2F4S3	C3F10L	C3F10S	C3F14L	C3F14S	C4F17F1	C4F17F2	C4F17F3	C4F17L1	C4F17L2	C4F17L3	C4F17S1	C4F17S2	C4F17S3	C4F8L	C4F8PC	C4F8PP	C4F8S	C6F35L	C6F35S	C6F37L	C6F37S	C6F60L	C6F60S	C7F14L	C7F14S	C7F22L	C7F22S	C7F81L	C7F81S	C8F40F1	C8F40F2	C8F40F3	C8F40L1	C8F40L2	C8F40L3	C8F40S1	C8F40S2	C8F40S3
UNCLASSIFIED	89.04096	91.91969	88.27852	91.77694	86.58221	61.77197	83.31019	95.24549	74.03786	93.14912	83.55058	91.32328	88.29569	94.13665	86.70531	92.8536	90.54865	89.29246	84.04916	89.61611	84.1833	95.01474	89.70063	97.50966	77.27914	96.19367	91.76733	96.70355	86.00804	83.67978	86.02409	88.55979	87.34443	87.54984	88.19037	91.42323	90.77945	83.96702	88.96101	75.20185	82.64292	49.45822	43.41522	51.83386	75.92636	76.33222	74.77027	95.00246	95.01008	94.88388	73.95327	51.09711	92.066	97.82616	87.32238	80.09098	70.83069	87.2386	89.44148	76.32274	74.55917	90.85756	78.85093	83.48122	84.83525	93.49672	59.85956	40.64526	29.26614	80.9362	80.31184	80.72254	85.87612	82.54977	86.75064
SGB29722	1.21488	0.1722	0.11204	0	0	0.00366	0.63127	0	0.98667	0	0.2377	0.00052	0.16293	0	0.02348	0	0.05647	0	0.23282	0.00295	0.13768	0	0.03951	0	0.06804	0	0.14347	0.00444	0	0	0	1.64369	1.69581	1.88223	0.26148	0.4704	0.50987	0.66496	0.01646	0.15956	0	0	0	0	0.50728	0.42172	0.47006	0.00235	0.00139	0.00286	0.00338	0	0	0	0.1231	0.15976	0.00175	0	0.08569	0.00775	0.00526	0	0.02596	0	0.02585	0	0	0	0	0.08431	0.08075	0.08123	0.0117	0.0093	0.00891
SGB17128	0.76227	0.12576	1.05079	0.00237	0	2.13244	0.4911	0	1.3011	0	0.8766	0.00843	0.79118	0.01292	1.55449	0.01376	0.79536	0.00021	1.33502	0.06336	1.30582	0.00145	1.38718	0.0444	1.40387	0.08302	0.16284	0.03401	0	0	0	2.3341	2.47398	2.52751	0.83097	0.59287	0.8609	0.68209	0.02009	1.08371	0	0	0	0	2.865	2.94218	2.56964	0	0	0	1.514	0	0.00045	0.00878	0.90428	0.89529	3.18229	0.00776	1.0129	0.08765	0.58154	0.01488	3.87944	0.1544	0.72106	0	0.11738	0.02016	0.01262	0.71786	0.90651	0.85771	0.36088	0.55913	0.41945
SGB7082	0.55398	0.06021	0.1743	0	0	0.91701	0.3739	0	0.53364	0	0.84121	0.00358	0.5306	0.00457	1.06409	0.00105	0.63101	0	1.23146	0.11221	1.23694	0	0.58418	0.03827	1.20061	0	0.00591	0	0	0	0	0.02338	0.03847	0.05485	0.30908	0.05149	0.03679	0.33054	0.00675	0.32296	0	0	0	0	0.6596	0.82147	1.02017	0	0	0	1.3536	0	0.03925	0.00075	1.1076	0.25639	1.18762	0.0112	0.96375	0.12876	1.32419	0.0063	1.06614	0.0129	1.22725	0	0	0	0	2.0057	2.03968	1.93464	1.76968	1.26111	0.87185
SGB34117	0.53987	4.00E-05	0.75146	0.00029	0	1.10349	0.04401	0	0.6666	0	0.11365	0.00123	0.01272	0	0.01331	0	0.35519	0	0	0.00058	0	0	0.00301	0	0	0	0.37293	0.04217	0	0	0	0.98505	1.02779	0.87573	0.17559	0.34846	0.32683	0.08275	0.02466	0.04654	0	0	0	0	0.43906	0.45661	0.42472	0.00016	0	0	0.45363	0	0	0.00069	0.00655	0.01784	0.00969	0	0.00744	0	0	0	0.00089	0	0.02567	0	0	0	0	0	0	0	0	0	0
SGB34195	0.48704	0.04852	2.48146	0.00438	7.00E-05	0.11262	1.10561	0	1.05317	0	0.33519	0.00587	0.75004	0.00271	0.2452	0.0015	0.96312	0.00044	0.00873	0.00059	0.02636	0	0.46317	0	0.03162	0	3.96026	0.00987	0	0	0	1.08535	1.02228	0.88045	0.09313	0.27629	0.21474	3.76912	0.07649	1.80339	0.00077	0	0	0	1.96807	1.87574	1.64895	0.56482	0.4998	0.53678	0.07806	0	0	0	0.19085	0.12922	0.16417	0	0.44874	0.0085	0.01804	0	0.07737	0.00161	0.19025	0	0	0	0	0.01182	0.0215	0.02732	0.02176	0.02828	0.0249
SGB7047	0.48089	0.11756	0.21392	0	0	0.64651	0.14286	0	0.24767	0	0.33562	9.00E-05	0.04794	0.00178	0.07344	0	0.08324	0	0.25718	0.00119	0.05421	0	0.09797	0	0.11062	0	0.00629	0	0	0	0	0.04729	0.05685	0.09751	0.03096	0.01744	0.01175	0.16763	0	0.16455	0	0	0	0	0.50474	0.6145	0.58906	0	0	0	0.65161	0	0	0	0.05542	0.06128	0.06284	0	0.07294	0	0.12691	0	0.07339	0	0.04747	0	0	0	0	0.144	0.10702	0.08012	0.11472	0.0816	0.02551
SGB2722	0.45941	0	0.58548	0	0	0.00043	0	0	0.00368	0	0	0	0.05003	0	0.00038	0	0.00048	0	0	0	0	0	9.00E-05	0	0	0	0.07394	0	0	0	0.00117	0.04209	0.07142	0.03495	0	4.00E-05	0.00047	0.04635	0.01051	0.01261	0	0	0	0	2.15741	3.22	2.16485	0.0436	0.0497	0.0632	5.60383	0	0	0	2.00E-05	0	0.00156	0	0.0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00091	0.00294	0.07872
SGB7806	0.41301	0.11452	0.11835	0	0	0.00737	0.14053	0	0.10843	0	0.69592	0.00198	0.1165	0	0.08535	0	0.13586	0	0.14594	0.01177	0.18884	0	0.06403	0	0.10803	0	0.01249	0	0	0	0	0.09465	0.07945	0.08808	0.01314	0.01103	0.01396	0.00918	0.00282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24867	0.25327	0.04622	0	0.16022	0.01902	0.05857	0	0.20622	0.00851	0.16203	0	0	0	0	0.26615	0.22668	0.29424	0.13707	0.19021	0.12751
SGB7805	0.39478	0.00049	0.16472	0	0	0.03662	0.01415	0	0.09049	0	0.01201	0	0	0	3.00E-05	0	0.00017	0	0.00027	0	3.00E-05	0	3.00E-05	0	0	0	0.1001	0.00714	0	0	0	0.69336	0.77331	0.71995	0.23022	0.21954	0.31143	0.02459	0	0.03904	0	0	0	0	0.01239	0.01218	0.01978	0	0	0	0.00176	0	0	0	0.00027	0.0005	0	0	0.00034	0	1.00E-05	0	0.0002	0	0.00017	0	0	0	0	0	4.00E-05	0.00028	0.00036	0	0
