"","Sample","Observed","Shannon","Simpson","Farm_Num","Sample_group","Farm_type","Sample_type","Company","TotalReads","m_Observed","sd_Observed","m_Shannon","sd_Shannon","m_Simpson","sd_Simpson"
"1","C12FCHL",320,3.84613641761898,0.961433768644196,"FN21","C12FCHL","Pullet","Litter","B",186304083,320,NA,3.84613641761898,NA,0.961433768644196,NA
"2","C12FCHS",503,5.14437314183847,0.989821814156022,"FN21","C12FCHS","Pullet","Soil","B",97846339,503,NA,5.14437314183847,NA,0.989821814156022,NA
"3","C13FJBL",219,3.39779210939432,0.92712152992525,"FN22","C13FJBL","Pullet","Litter","B",116960186,219,NA,3.39779210939432,NA,0.92712152992525,NA
"4","C13FJBS",600,5.06223865798429,0.984261957852308,"FN22","C13FJBS","Pullet","Soil","B",141278516,600,NA,5.06223865798429,NA,0.984261957852308,NA
"5","C15FNSL",299,2.91009594766121,0.807919691048454,"FN24","C15FNSL","Breeder","Litter","B",129453133,299,NA,2.91009594766121,NA,0.807919691048454,NA
"6","C15FNSS",385,4.81857237791091,0.98561790591145,"FN24","C15FNSS","Breeder","Soil","B",133985880,385,NA,4.81857237791091,NA,0.98561790591145,NA
"7","C15FTCL",398,3.343771744072,0.883519749126778,"FN25","C15FTCL","Breeder","Litter","B",132910803,398,NA,3.343771744072,NA,0.883519749126778,NA
"8","C15FTCS",318,3.39504849314886,0.849437873238882,"FN25","C15FTCS","Breeder","Soil","B",124891035,318,NA,3.39504849314886,NA,0.849437873238882,NA
"9","C16FHWL",390,3.89784126388321,0.952398918058072,"FN26","C16FHWL","Breeder","Litter","B",232064505,390,NA,3.89784126388321,NA,0.952398918058072,NA
"10","C16FHWS",457,3.80044218162997,0.939156320281862,"FN26","C16FHWS","Breeder","Soil","B",200525185,457,NA,3.80044218162997,NA,0.939156320281862,NA
"11","C17FHEL",253,3.41892956759726,0.934718701459175,"FN27","C17FHEL","Broiler","Litter","B",112337731,253,NA,3.41892956759726,NA,0.934718701459175,NA
"12","C17FHES",525,4.70690229835496,0.976132822992219,"FN27","C17FHES","Broiler","Soil","B",206772646,525,NA,4.70690229835496,NA,0.976132822992219,NA
"13","C18FCLL",264,3.37301928733726,0.940368150510472,"FN28","C18FCLL","Broiler","Litter","B",104230141,264,NA,3.37301928733726,NA,0.940368150510472,NA
"14","C18FCLS",366,4.29726497118226,0.950358650249792,"FN29","C18FCLS","Broiler","Soil","B",100649918,366,NA,4.29726497118226,NA,0.950358650249792,NA
"15","C18FHHL",215,3.19911430128607,0.931261256958121,"FN30","C18FHHL","Broiler","Litter","B",136709854,215,NA,3.19911430128607,NA,0.931261256958121,NA
"16","C18FHHS",349,4.1522509378888,0.969861665711517,"FN30","C18FHHS","Broiler","Soil","B",113062231,349,NA,4.1522509378888,NA,0.969861665711517,NA
"17","C18FTGL",269,3.26476701269943,0.932625815301562,"FN31","C18FTGL","Broiler","Litter","B",105120393,269,NA,3.26476701269943,NA,0.932625815301562,NA
"18","C18FTGS",664,4.99401149189907,0.981580756152091,"FN31","C18FTGS","Broiler","Soil","B",191267757,664,NA,4.99401149189907,NA,0.981580756152091,NA
"19","C19FTTL",236,3.25464566801904,0.924893267194192,"FN32","C19FTTL","Broiler","Litter","B",93350133,236,NA,3.25464566801904,NA,0.924893267194192,NA
"20","C19FTTS",258,3.75727710318727,0.928913613745641,"FN32","C19FTTS","Broiler","Soil","B",119107482,258,NA,3.75727710318727,NA,0.928913613745641,NA
"21","C20FJAL",211,3.2127639306358,0.93710970303967,"FN33","C20FJAL","Broiler","Litter","B",138105321,211,NA,3.2127639306358,NA,0.93710970303967,NA
"22","C20FJAS",180,4.39195932499109,0.982136971097945,"FN33","C20FJAS","Broiler","Soil","B",116248942,180,NA,4.39195932499109,NA,0.982136971097945,NA
"23","C20FPHL",297,3.13163726891406,0.893541601418521,"FN34","C20FPHL","Broiler","Litter","B",67065942,297,NA,3.13163726891406,NA,0.893541601418521,NA
"24","C20PHS",150,3.85902866842035,0.962876031515022,"FN34","C20PHS","Broiler","Soil","B",65362696,150,NA,3.85902866842035,NA,0.962876031515022,NA
"25","C2F1L",84,2.20209388865799,0.741607647327235,"FN1","C2F1L","Pullet","Litter","A",78823314,84,NA,2.20209388865799,NA,0.741607647327235,NA
"26","C2F1S",227,4.41362057808553,0.978438143081439,"FN1","C2F1S","Pullet","Soil","A",89536814,227,NA,4.41362057808553,NA,0.978438143081439,NA
